symptom,drug,timing,Freq
歯痛,イブA錠,その他,0
歯痛,新セデス錠,痛くなりそうなとき・熱が出そうなとき,0
歯痛,新セデス錠,痛くなったとき・熱が出始めたとき,5
歯痛,新セデス錠,ひどくはなっていないが、痛みや熱がひかないとき,3
歯痛,新セデス錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
歯痛,新セデス錠,痛みが我慢できなくなったとき・熱が高くなったとき,6
歯痛,新セデス錠,その他,2
歯痛,セデスハイ,痛くなりそうなとき・熱が出そうなとき,0
歯痛,セデスハイ,痛くなったとき・熱が出始めたとき,6
歯痛,セデスハイ,ひどくはなっていないが、痛みや熱がひかないとき,1
歯痛,セデスハイ,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,0
歯痛,セデスハイ,痛みが我慢できなくなったとき・熱が高くなったとき,15
歯痛,セデスハイ,その他,0
歯痛,セデスV,痛くなりそうなとき・熱が出そうなとき,4
歯痛,セデスV,痛くなったとき・熱が出始めたとき,11
歯痛,セデスV,ひどくはなっていないが、痛みや熱がひかないとき,8
歯痛,セデスV,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,7
歯痛,セデスV,痛みが我慢できなくなったとき・熱が高くなったとき,11
歯痛,セデスV,その他,2
歯痛,セデスキュア,痛くなりそうなとき・熱が出そうなとき,3
歯痛,セデスキュア,痛くなったとき・熱が出始めたとき,12
歯痛,セデスキュア,ひどくはなっていないが、痛みや熱がひかないとき,2
歯痛,セデスキュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,7
歯痛,セデスキュア,痛みが我慢できなくなったとき・熱が高くなったとき,9
歯痛,セデスキュア,その他,2
歯痛,ノーシン錠,痛くなりそうなとき・熱が出そうなとき,2
歯痛,ノーシン錠,痛くなったとき・熱が出始めたとき,7
歯痛,ノーシン錠,ひどくはなっていないが、痛みや熱がひかないとき,6
歯痛,ノーシン錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,1
歯痛,ノーシン錠,痛みが我慢できなくなったとき・熱が高くなったとき,7
歯痛,ノーシン錠,その他,0
歯痛,ノーシンピュア,痛くなりそうなとき・熱が出そうなとき,2
歯痛,ノーシンピュア,痛くなったとき・熱が出始めたとき,5
歯痛,ノーシンピュア,ひどくはなっていないが、痛みや熱がひかないとき,0
歯痛,ノーシンピュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,0
歯痛,ノーシンピュア,痛みが我慢できなくなったとき・熱が高くなったとき,11
歯痛,ノーシンピュア,その他,0
歯痛,ナロンエース,痛くなりそうなとき・熱が出そうなとき,1
歯痛,ナロンエース,痛くなったとき・熱が出始めたとき,3
歯痛,ナロンエース,ひどくはなっていないが、痛みや熱がひかないとき,4
歯痛,ナロンエース,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,4
歯痛,ナロンエース,痛みが我慢できなくなったとき・熱が高くなったとき,14
歯痛,ナロンエース,その他,0
歯痛,リングルアイビー,痛くなりそうなとき・熱が出そうなとき,2
歯痛,リングルアイビー,痛くなったとき・熱が出始めたとき,3
歯痛,リングルアイビー,ひどくはなっていないが、痛みや熱がひかないとき,1
歯痛,リングルアイビー,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
歯痛,リングルアイビー,痛みが我慢できなくなったとき・熱が高くなったとき,4
歯痛,リングルアイビー,その他,1
腰痛,バファリンA,痛くなりそうなとき・熱が出そうなとき,0
腰痛,バファリンA,痛くなったとき・熱が出始めたとき,3
腰痛,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき,1
腰痛,バファリンA,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,1
腰痛,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき,3
腰痛,バファリンA,その他,1
腰痛,イブA錠,痛くなりそうなとき・熱が出そうなとき,1
腰痛,イブA錠,痛くなったとき・熱が出始めたとき,1
腰痛,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき,2
腰痛,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
腰痛,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき,4
腰痛,イブA錠,その他,1
腰痛,新セデス錠,痛くなりそうなとき・熱が出そうなとき,0
腰痛,新セデス錠,痛くなったとき・熱が出始めたとき,2
腰痛,新セデス錠,ひどくはなっていないが、痛みや熱がひかないとき,1
腰痛,新セデス錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,5
腰痛,新セデス錠,痛みが我慢できなくなったとき・熱が高くなったとき,2
腰痛,新セデス錠,その他,1
腰痛,セデスハイ,痛くなりそうなとき・熱が出そうなとき,0
腰痛,セデスハイ,痛くなったとき・熱が出始めたとき,4
腰痛,セデスハイ,ひどくはなっていないが、痛みや熱がひかないとき,1
腰痛,セデスハイ,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
腰痛,セデスハイ,痛みが我慢できなくなったとき・熱が高くなったとき,10
腰痛,セデスハイ,その他,0
腰痛,セデスV,痛くなりそうなとき・熱が出そうなとき,1
腰痛,セデスV,痛くなったとき・熱が出始めたとき,6
腰痛,セデスV,ひどくはなっていないが、痛みや熱がひかないとき,5
腰痛,セデスV,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,5
腰痛,セデスV,痛みが我慢できなくなったとき・熱が高くなったとき,9
腰痛,セデスV,その他,1
腰痛,セデスキュア,痛くなりそうなとき・熱が出そうなとき,2
腰痛,セデスキュア,痛くなったとき・熱が出始めたとき,8
腰痛,セデスキュア,ひどくはなっていないが、痛みや熱がひかないとき,4
腰痛,セデスキュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
腰痛,セデスキュア,痛みが我慢できなくなったとき・熱が高くなったとき,5
腰痛,セデスキュア,その他,1
腰痛,ノーシン錠,痛くなりそうなとき・熱が出そうなとき,2
腰痛,ノーシン錠,痛くなったとき・熱が出始めたとき,5
腰痛,ノーシン錠,ひどくはなっていないが、痛みや熱がひかないとき,2
腰痛,ノーシン錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
腰痛,ノーシン錠,痛みが我慢できなくなったとき・熱が高くなったとき,7
腰痛,ノーシン錠,その他,1
腰痛,ノーシンピュア,痛くなりそうなとき・熱が出そうなとき,0
腰痛,ノーシンピュア,痛くなったとき・熱が出始めたとき,2
腰痛,ノーシンピュア,ひどくはなっていないが、痛みや熱がひかないとき,0
腰痛,ノーシンピュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,1
腰痛,ノーシンピュア,痛みが我慢できなくなったとき・熱が高くなったとき,7
腰痛,ノーシンピュア,その他,1
腰痛,ナロンエース,痛くなりそうなとき・熱が出そうなとき,0
腰痛,ナロンエース,痛くなったとき・熱が出始めたとき,1
腰痛,ナロンエース,ひどくはなっていないが、痛みや熱がひかないとき,1
腰痛,ナロンエース,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,0
腰痛,ナロンエース,痛みが我慢できなくなったとき・熱が高くなったとき,9
腰痛,ナロンエース,その他,0
腰痛,リングルアイビー,痛くなりそうなとき・熱が出そうなとき,0
腰痛,リングルアイビー,痛くなったとき・熱が出始めたとき,2
腰痛,リングルアイビー,ひどくはなっていないが、痛みや熱がひかないとき,1
腰痛,リングルアイビー,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
腰痛,リングルアイビー,痛みが我慢できなくなったとき・熱が高くなったとき,4
腰痛,リングルアイビー,その他,2
関節痛,バファリンA,痛くなりそうなとき・熱が出そうなとき,0
関節痛,バファリンA,痛くなったとき・熱が出始めたとき,3
関節痛,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき,1
関節痛,バファリンA,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,1
関節痛,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき,2
関節痛,バファリンA,その他,1
関節痛,イブA錠,痛くなりそうなとき・熱が出そうなとき,1
関節痛,イブA錠,痛くなったとき・熱が出始めたとき,3
関節痛,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき,1
関節痛,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
関節痛,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき,2
関節痛,イブA錠,その他,1
関節痛,新セデス錠,痛くなりそうなとき・熱が出そうなとき,0
関節痛,新セデス錠,痛くなったとき・熱が出始めたとき,2
関節痛,新セデス錠,ひどくはなっていないが、痛みや熱がひかないとき,2
関節痛,新セデス錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
関節痛,新セデス錠,痛みが我慢できなくなったとき・熱が高くなったとき,2
関節痛,新セデス錠,その他,1
関節痛,セデスハイ,痛くなりそうなとき・熱が出そうなとき,0
関節痛,セデスハイ,痛くなったとき・熱が出始めたとき,3
関節痛,セデスハイ,ひどくはなっていないが、痛みや熱がひかないとき,0
関節痛,セデスハイ,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,0
関節痛,セデスハイ,痛みが我慢できなくなったとき・熱が高くなったとき,6
関節痛,セデスハイ,その他,0
関節痛,セデスV,痛くなりそうなとき・熱が出そうなとき,2
関節痛,セデスV,痛くなったとき・熱が出始めたとき,7
関節痛,セデスV,ひどくはなっていないが、痛みや熱がひかないとき,5
関節痛,セデスV,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,5
関節痛,セデスV,痛みが我慢できなくなったとき・熱が高くなったとき,6
関節痛,セデスV,その他,1
関節痛,セデスキュア,痛くなりそうなとき・熱が出そうなとき,2
関節痛,セデスキュア,痛くなったとき・熱が出始めたとき,3
関節痛,セデスキュア,ひどくはなっていないが、痛みや熱がひかないとき,3
関節痛,セデスキュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,4
関節痛,セデスキュア,痛みが我慢できなくなったとき・熱が高くなったとき,6
関節痛,セデスキュア,その他,1
関節痛,ノーシン錠,痛くなりそうなとき・熱が出そうなとき,1
関節痛,ノーシン錠,痛くなったとき・熱が出始めたとき,3
関節痛,ノーシン錠,ひどくはなっていないが、痛みや熱がひかないとき,2
関節痛,ノーシン錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,1
関節痛,ノーシン錠,痛みが我慢できなくなったとき・熱が高くなったとき,6
関節痛,ノーシン錠,その他,0
関節痛,ノーシンピュア,痛くなりそうなとき・熱が出そうなとき,0
関節痛,ノーシンピュア,痛くなったとき・熱が出始めたとき,2
関節痛,ノーシンピュア,ひどくはなっていないが、痛みや熱がひかないとき,0
関節痛,ノーシンピュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,0
関節痛,ノーシンピュア,痛みが我慢できなくなったとき・熱が高くなったとき,2
関節痛,ノーシンピュア,その他,1
関節痛,ナロンエース,痛くなりそうなとき・熱が出そうなとき,1
関節痛,ナロンエース,痛くなったとき・熱が出始めたとき,2
関節痛,ナロンエース,ひどくはなっていないが、痛みや熱がひかないとき,1
関節痛,ナロンエース,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,0
関節痛,ナロンエース,痛みが我慢できなくなったとき・熱が高くなったとき,9
関節痛,ナロンエース,その他,0
関節痛,リングルアイビー,痛くなりそうなとき・熱が出そうなとき,0
関節痛,リングルアイビー,痛くなったとき・熱が出始めたとき,1
関節痛,リングルアイビー,ひどくはなっていないが、痛みや熱がひかないとき,0
関節痛,リングルアイビー,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,0
関節痛,リングルアイビー,痛みが我慢できなくなったとき・熱が高くなったとき,1
関節痛,リングルアイビー,その他,2
打撲・捻挫・外傷による痛み,バファリンA,痛くなりそうなとき・熱が出そうなとき,0
打撲・捻挫・外傷による痛み,バファリンA,痛くなったとき・熱が出始めたとき,2
打撲・捻挫・外傷による痛み,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき,2
打撲・捻挫・外傷による痛み,バファリンA,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,0
打撲・捻挫・外傷による痛み,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき,4
打撲・捻挫・外傷による痛み,バファリンA,その他,1
打撲・捻挫・外傷による痛み,イブA錠,痛くなりそうなとき・熱が出そうなとき,1
打撲・捻挫・外傷による痛み,イブA錠,痛くなったとき・熱が出始めたとき,2
打撲・捻挫・外傷による痛み,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき,1
打撲・捻挫・外傷による痛み,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
打撲・捻挫・外傷による痛み,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき,2
打撲・捻挫・外傷による痛み,イブA錠,その他,1
打撲・捻挫・外傷による痛み,新セデス錠,痛くなりそうなとき・熱が出そうなとき,0
打撲・捻挫・外傷による痛み,新セデス錠,痛くなったとき・熱が出始めたとき,2
打撲・捻挫・外傷による痛み,新セデス錠,ひどくはなっていないが、痛みや熱がひかないとき,0
打撲・捻挫・外傷による痛み,新セデス錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,1
打撲・捻挫・外傷による痛み,新セデス錠,痛みが我慢できなくなったとき・熱が高くなったとき,4
打撲・捻挫・外傷による痛み,新セデス錠,その他,1
打撲・捻挫・外傷による痛み,セデスハイ,痛くなりそうなとき・熱が出そうなとき,0
打撲・捻挫・外傷による痛み,セデスハイ,痛くなったとき・熱が出始めたとき,1
打撲・捻挫・外傷による痛み,セデスハイ,ひどくはなっていないが、痛みや熱がひかないとき,1
打撲・捻挫・外傷による痛み,セデスハイ,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,1
打撲・捻挫・外傷による痛み,セデスハイ,痛みが我慢できなくなったとき・熱が高くなったとき,5
打撲・捻挫・外傷による痛み,セデスハイ,その他,0
打撲・捻挫・外傷による痛み,セデスV,痛くなりそうなとき・熱が出そうなとき,2
打撲・捻挫・外傷による痛み,セデスV,痛くなったとき・熱が出始めたとき,7
打撲・捻挫・外傷による痛み,セデスV,ひどくはなっていないが、痛みや熱がひかないとき,4
打撲・捻挫・外傷による痛み,セデスV,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,5
打撲・捻挫・外傷による痛み,セデスV,痛みが我慢できなくなったとき・熱が高くなったとき,8
打撲・捻挫・外傷による痛み,セデスV,その他,2
打撲・捻挫・外傷による痛み,セデスキュア,痛くなりそうなとき・熱が出そうなとき,1
打撲・捻挫・外傷による痛み,セデスキュア,痛くなったとき・熱が出始めたとき,3
打撲・捻挫・外傷による痛み,セデスキュア,ひどくはなっていないが、痛みや熱がひかないとき,2
打撲・捻挫・外傷による痛み,セデスキュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,4
打撲・捻挫・外傷による痛み,セデスキュア,痛みが我慢できなくなったとき・熱が高くなったとき,4
打撲・捻挫・外傷による痛み,セデスキュア,その他,0
打撲・捻挫・外傷による痛み,ノーシン錠,痛くなりそうなとき・熱が出そうなとき,1
打撲・捻挫・外傷による痛み,ノーシン錠,痛くなったとき・熱が出始めたとき,3
打撲・捻挫・外傷による痛み,ノーシン錠,ひどくはなっていないが、痛みや熱がひかないとき,2
打撲・捻挫・外傷による痛み,ノーシン錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
打撲・捻挫・外傷による痛み,ノーシン錠,痛みが我慢できなくなったとき・熱が高くなったとき,8
打撲・捻挫・外傷による痛み,ノーシン錠,その他,0
打撲・捻挫・外傷による痛み,ノーシンピュア,痛くなりそうなとき・熱が出そうなとき,0
打撲・捻挫・外傷による痛み,ノーシンピュア,痛くなったとき・熱が出始めたとき,1
打撲・捻挫・外傷による痛み,ノーシンピュア,ひどくはなっていないが、痛みや熱がひかないとき,0
打撲・捻挫・外傷による痛み,ノーシンピュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
打撲・捻挫・外傷による痛み,ノーシンピュア,痛みが我慢できなくなったとき・熱が高くなったとき,2
打撲・捻挫・外傷による痛み,ノーシンピュア,その他,1
打撲・捻挫・外傷による痛み,ナロンエース,痛くなりそうなとき・熱が出そうなとき,0
打撲・捻挫・外傷による痛み,ナロンエース,痛くなったとき・熱が出始めたとき,3
打撲・捻挫・外傷による痛み,ナロンエース,ひどくはなっていないが、痛みや熱がひかないとき,1
打撲・捻挫・外傷による痛み,ナロンエース,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,0
打撲・捻挫・外傷による痛み,ナロンエース,痛みが我慢できなくなったとき・熱が高くなったとき,5
打撲・捻挫・外傷による痛み,ナロンエース,その他,0
打撲・捻挫・外傷による痛み,リングルアイビー,痛くなりそうなとき・熱が出そうなとき,0
打撲・捻挫・外傷による痛み,リングルアイビー,痛くなったとき・熱が出始めたとき,0
打撲・捻挫・外傷による痛み,リングルアイビー,ひどくはなっていないが、痛みや熱がひかないとき,0
打撲・捻挫・外傷による痛み,リングルアイビー,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,0
打撲・捻挫・外傷による痛み,リングルアイビー,痛みが我慢できなくなったとき・熱が高くなったとき,3
打撲・捻挫・外傷による痛み,リングルアイビー,その他,2
上記以外の痛み,バファリンA,痛くなりそうなとき・熱が出そうなとき,0
上記以外の痛み,バファリンA,痛くなったとき・熱が出始めたとき,4
上記以外の痛み,バファリンA,ひどくはなっていないが、痛みや熱がひかないとき,2
上記以外の痛み,バファリンA,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,1
上記以外の痛み,バファリンA,痛みが我慢できなくなったとき・熱が高くなったとき,5
上記以外の痛み,バファリンA,その他,2
上記以外の痛み,イブA錠,痛くなりそうなとき・熱が出そうなとき,0
上記以外の痛み,イブA錠,痛くなったとき・熱が出始めたとき,2
上記以外の痛み,イブA錠,ひどくはなっていないが、痛みや熱がひかないとき,1
上記以外の痛み,イブA錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
上記以外の痛み,イブA錠,痛みが我慢できなくなったとき・熱が高くなったとき,3
上記以外の痛み,イブA錠,その他,3
上記以外の痛み,新セデス錠,痛くなりそうなとき・熱が出そうなとき,0
上記以外の痛み,新セデス錠,痛くなったとき・熱が出始めたとき,6
上記以外の痛み,新セデス錠,ひどくはなっていないが、痛みや熱がひかないとき,1
上記以外の痛み,新セデス錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,6
上記以外の痛み,新セデス錠,痛みが我慢できなくなったとき・熱が高くなったとき,6
上記以外の痛み,新セデス錠,その他,2
上記以外の痛み,セデスハイ,痛くなりそうなとき・熱が出そうなとき,0
上記以外の痛み,セデスハイ,痛くなったとき・熱が出始めたとき,1
上記以外の痛み,セデスハイ,ひどくはなっていないが、痛みや熱がひかないとき,1
上記以外の痛み,セデスハイ,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,1
上記以外の痛み,セデスハイ,痛みが我慢できなくなったとき・熱が高くなったとき,6
上記以外の痛み,セデスハイ,その他,1
上記以外の痛み,セデスV,痛くなりそうなとき・熱が出そうなとき,3
上記以外の痛み,セデスV,痛くなったとき・熱が出始めたとき,7
上記以外の痛み,セデスV,ひどくはなっていないが、痛みや熱がひかないとき,5
上記以外の痛み,セデスV,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,5
上記以外の痛み,セデスV,痛みが我慢できなくなったとき・熱が高くなったとき,5
上記以外の痛み,セデスV,その他,3
上記以外の痛み,セデスキュア,痛くなりそうなとき・熱が出そうなとき,1
上記以外の痛み,セデスキュア,痛くなったとき・熱が出始めたとき,5
上記以外の痛み,セデスキュア,ひどくはなっていないが、痛みや熱がひかないとき,4
上記以外の痛み,セデスキュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
上記以外の痛み,セデスキュア,痛みが我慢できなくなったとき・熱が高くなったとき,5
上記以外の痛み,セデスキュア,その他,3
上記以外の痛み,ノーシン錠,痛くなりそうなとき・熱が出そうなとき,1
上記以外の痛み,ノーシン錠,痛くなったとき・熱が出始めたとき,4
上記以外の痛み,ノーシン錠,ひどくはなっていないが、痛みや熱がひかないとき,3
上記以外の痛み,ノーシン錠,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
上記以外の痛み,ノーシン錠,痛みが我慢できなくなったとき・熱が高くなったとき,5
上記以外の痛み,ノーシン錠,その他,1
上記以外の痛み,ノーシンピュア,痛くなりそうなとき・熱が出そうなとき,1
上記以外の痛み,ノーシンピュア,痛くなったとき・熱が出始めたとき,0
上記以外の痛み,ノーシンピュア,ひどくはなっていないが、痛みや熱がひかないとき,0
上記以外の痛み,ノーシンピュア,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
上記以外の痛み,ノーシンピュア,痛みが我慢できなくなったとき・熱が高くなったとき,3
上記以外の痛み,ノーシンピュア,その他,3
上記以外の痛み,ナロンエース,痛くなりそうなとき・熱が出そうなとき,2
上記以外の痛み,ナロンエース,痛くなったとき・熱が出始めたとき,3
上記以外の痛み,ナロンエース,ひどくはなっていないが、痛みや熱がひかないとき,3
上記以外の痛み,ナロンエース,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,2
上記以外の痛み,ナロンエース,痛みが我慢できなくなったとき・熱が高くなったとき,6
上記以外の痛み,ナロンエース,その他,0
上記以外の痛み,リングルアイビー,痛くなりそうなとき・熱が出そうなとき,1
上記以外の痛み,リングルアイビー,痛くなったとき・熱が出始めたとき,0
上記以外の痛み,リングルアイビー,ひどくはなっていないが、痛みや熱がひかないとき,0
上記以外の痛み,リングルアイビー,痛みがひどくなりそうなとき・熱が更に上がりそうなとき,3
上記以外の痛み,リングルアイビー,痛みが我慢できなくなったとき・熱が高くなったとき,5
上記以外の痛み,リングルアイビー,その他,4
